lib,dtype,cfg,swizzle,raster,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cutlass,fp8,0,0,H,16384,1024,4096,814.08,817.64,808.70,168.8,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,16384,1024,4096,1055.74,1060.70,1052.67,130.2,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,fp8,7,0,H,16384,1024,4096,1184.74,1188.16,1178.78,116.0,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,16384,1024,4096,468.46,473.50,462.82,293.4,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,3,0,H,16384,1024,4096,479.31,484.63,470.02,286.7,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,16384,1024,4096,575.02,579.18,567.30,239.0,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,2,0,H,16384,1024,4096,634.90,638.56,627.78,216.5,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,0,16,H,16384,1024,4096,724.98,729.79,720.86,189.6,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,0,0,H,16384,1024,4096,812.03,815.38,806.88,169.3,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,16384,1024,4096,1056.78,1062.64,1051.68,130.1,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
